Year,fossil-fuel-and-industry,land-use-change-emissions,atmospheric-growth,ocean-sink,land-sink,budget-imbalance,emissions-total,sinks-total
1919,0.806,1.14538206927872,0.807932,0.61601,0.0965415900894832,0.430898479189234,1.95138206927872,1.52048359008948
1920,0.932,1.19737253668594,0.774224,0.62373,1.11176451801938,-0.380345981333434,2.12937253668594,2.50971851801938
1921,0.803,1.2268664293251,0.747936,0.63178,1.07640923944887,-0.426258810123764,2.0298664293251,2.45612523944887
1922,0.845,1.25040145568085,0.731824,0.634325,0.490262615767617,0.23898983991323,2.09540145568085,1.85641161576762
1923,0.97,1.26126544017029,0.725464,0.642225,1.28725007872797,-0.42367363855768,2.23126544017029,2.65493907872797
1924,0.963,1.27082179896164,0.72716,0.644645,0.434392356986385,0.427624441975254,2.23382179896164,1.80619735698639
1925,0.975,1.27759864982986,0.732248,0.65195,0.917916230421188,-0.0495155805913241,2.25259864982986,2.30211423042119
1926,0.983,1.28189128385162,0.744544,0.654085,0.223502205041318,0.642760078810306,2.26489128385162,1.62213120504132
1927,1.062,1.2873289690094,0.760444,0.655995,1.05466510420641,-0.121775135197014,2.3493289690094,2.47110410420641
1928,1.065,1.28820401528168,0.778464,0.662745,0.269986308025352,0.642008707256325,2.35320401528168,1.71119530802535
1929,1.145,1.28615659300232,0.789488,0.66403,0.505493635225139,0.472144957777181,2.43115659300232,1.95901163522514
1930,1.053,1.34874364138031,0.790548,0.665485,0.761003768897263,0.184706872483047,2.40174364138031,2.21703676889726
1931,0.94,1.3897156893959,0.789912,0.666855,-0.0744924025615544,0.947441091957459,2.3297156893959,1.38227459743845
1932,0.847,1.4133174847641,0.788428,0.67242,0.705398329847108,0.0940711549169908,2.2603174847641,2.16624632984711
1933,0.893,1.44097802339172,0.786096,0.67314,0.573619880500715,0.301122142891008,2.33397802339172,2.03285588050072
1934,0.973,1.46042711206436,0.782068,0.673565,0.830928515618915,0.146865596445446,2.43342711206436,2.28656151561891
1935,1.027,1.4780763356781,0.773588,0.673935,0.579270611947554,0.478282723730546,2.5050763356781,2.02679361194755
